,Unnamed: 0,Composer,Number_of_Pitches,Number_of_Common_Pitches,Range,Dominant_Spread,Strong_Tonal_Centres,Pitch_Variability,Pitch_Skewness,Pitch_Kurtosis,Most_Common_Melodic_Interval,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Vertical_Dissonance_Ratio,Non-Standard_Chords,Complex_Chords,Initial_Time_Signature_0,Initial_Time_Signature_1,Metrical_Diversity,Mean_Rhythmic_Value,Rhythmic_Value_Variability,Complete_Rests_Fraction,Rhythmic_Variability_-_Tempo_Standardized,Polyrhythms_-_Tempo_Standardized,Note_Density,Note_Density_Variability,Strongest_Rhythmic_Pulse,Rhythmic_Variability,Polyrhythms,Number_of_Pitched_Instruments,Voice_Equality_-_Number_of_Notes,Parallel_Motion,Similar_Motion,Contrary_Motion,Oblique_Motion,Average_Note_to_Note_Change_in_Dynamics
10,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_66_(c)lefeldt.mid,6.0,74.0,0.0,74.0,2.0,2.0,14.22,0.2509,5.757999999999999,4.0,0.4317,0.004975,0.03704,0.08900000000000001,0.6511,2.2359999999999998,23.35,6.4670000000000005,0.2787,0.41700000000000004,0.02506,1.0,8.0,5.0,0.6023,0.5474,0.013030000000000002,0.025419999999999998,0.4,8.437999999999999,3.313,88.0,0.03046,0.4286,1.0,0.0,0.056389999999999996,0.1259,0.08962,0.7281,10.02
11,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_70_(c)lefeldt.mid,6.0,68.0,0.0,73.0,3.0,1.0,12.85,0.1772,5.584,2.0,0.3537,0.010740000000000001,0.09752000000000001,0.2727,0.67,2.92,26.85,6.672000000000001,0.304,0.37,0.03762,1.0,8.0,2.0,0.6376,0.7331,0.01245,0.022269999999999998,0.4,7.831,2.352,90.0,0.02511,0.375,1.0,0.0,0.03778,0.07758,0.067,0.8176,9.668
12,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_90_(c)lefeldt.mid,6.0,64.0,0.0,68.0,2.0,2.0,12.89,-0.07072,5.575,1.0,0.3655,0.01317,0.1065,0.1932,0.6719,2.583,24.7,7.629,0.2698,0.4402,0.03059,1.0,8.0,3.0,1.453,1.167,0.027639999999999998,0.03134,0.6,6.752999999999999,2.793,60.0,0.0241,0.375,1.0,0.0,0.03284,0.09421,0.0363,0.8366,9.128
13,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_96_(c)lefeldt.mid,6.0,68.0,0.0,76.0,3.0,2.0,11.88,0.044989999999999995,6.091,2.0,0.3651,0.0156,0.1037,0.2495,0.6701,2.656,24.29,6.882999999999999,0.2874,0.3828,0.01317,1.0,8.0,2.0,0.6399,0.5502,0.03737,0.02515,0.3,8.627,3.197,71.0,0.028260000000000004,0.25,1.0,0.0,0.08129,0.1235,0.06462000000000001,0.7306,9.267999999999999
14,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/cantique_jean_racine_(c)gray.mid,6.0,47.0,3.0,49.0,6.0,2.0,9.487,-0.6576,6.597,1.0,0.4833,0.1404,0.141,0.2743,0.4474,2.009,9.459,5.046,0.1672,0.2639,0.04,4.0,4.0,1.0,0.912,0.9202,0.0,0.028460000000000003,0.375,7.749,2.7739999999999996,40.0,0.035910000000000004,0.6,3.0,355.3,0.1091,0.1364,0.1957,0.5588,1.6159999999999999
15,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_1_(c)halstead.mid,6.0,55.0,0.0,60.0,4.0,2.0,13.43,0.08298,5.261,7.0,0.5981,0.04019,0.05646,0.1923,0.4855,1.585,8.264,5.654,0.2712,0.414,0.09042,2.0,4.0,1.0,0.7187,0.4724,0.001954,0.02238,0.25,6.601,1.6780000000000002,56.0,0.03437,1.0,1.0,214.3,0.03418,0.1767,0.1107,0.6784,6.237
16,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_1_(c)oguri.mid,6.0,54.0,0.0,60.0,4.0,2.0,13.3,0.2514,5.2860000000000005,12.0,0.5583,0.03198,0.02074,0.08297,0.4964,1.476,13.55,7.0889999999999995,0.1559,0.2398,0.040119999999999996,4.0,4.0,1.0,1.127,0.7586,0.07468999999999999,0.009534,0.5,6.941,2.511,43.0,0.009534,0.5,1.0,222.0,0.03733,0.2967,0.0661,0.5998,13.42
17,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_1_(c)yogore.mid,6.0,54.0,0.0,60.0,4.0,2.0,12.99,-0.022090000000000002,5.375,7.0,0.6117,0.04123,0.03452,0.162,0.433,1.6780000000000002,9.022,4.303,0.1819,0.2715,0.01592,2.0,4.0,1.0,0.5999,0.4397,0.0,0.02762,0.4,9.937999999999999,2.699,43.0,0.03271,0.75,1.0,112.1,0.053610000000000005,0.1721,0.1794,0.595,1.365
18,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_2_(c)halstead.mid,6.0,70.0,0.0,75.0,6.0,2.0,14.54,0.09451,5.587999999999999,2.0,0.4661,0.07497999999999999,0.1319,0.2791,0.3887,2.376,12.76,4.427,0.2264,0.336,0.0901,3.0,4.0,1.0,0.9257,0.644,0.1314,0.03955,0.6667,12.34,3.878,100.0,0.029439999999999997,0.5,1.0,101.1,0.125,0.2151,0.171,0.489,4.55
19,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_2_(c)oguri.mid,6.0,70.0,0.0,75.0,6.0,2.0,14.5,0.1483,5.621,12.0,0.5514,0.02905,0.037160000000000006,0.1007,0.4809,1.53,14.33,6.086,0.2451,0.29100000000000004,0.08241,4.0,4.0,1.0,0.3006,0.4446,0.375,0.007821,0.4,13.08,5.2410000000000005,41.0,0.007821,0.4,1.0,84.85,0.06869,0.4252,0.1034,0.4027,9.378
20,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_2_(c)yogore.mid,6.0,73.0,0.0,77.0,6.0,2.0,14.83,0.1729,5.596,2.0,0.4477,0.07852,0.13,0.26899999999999996,0.4065,1.99,12.22,4.25,0.1489,0.263,0.04972,3.0,4.0,2.0,0.652,0.7201,0.2962,0.039560000000000005,0.6667,14.43,4.902,78.0,0.030780000000000002,0.2,1.0,208.4,0.1609,0.17300000000000001,0.1972,0.4689,2.282
21,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_3_(c)halstead.mid,6.0,60.0,0.0,65.0,2.0,2.0,12.82,0.2266,5.516,2.0,0.3879,0.0339,0.1375,0.3578,0.5019,2.115,9.986,6.792999999999999,0.3272,0.4982,0.05624,3.0,4.0,1.0,0.6997,0.624,0.022000000000000002,0.02069,0.4,6.697,1.617,58.0,0.02888,0.5,1.0,72.12,0.036910000000000005,0.2181,0.10099999999999999,0.6439,3.91
22,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_3_(c)oguri.mid,6.0,59.0,0.0,65.0,2.0,2.0,12.79,0.2472,5.528,12.0,0.5041,0.0189,0.0432,0.1512,0.5211,1.778,13.73,7.062,0.2594,0.4143,0.03073,4.0,4.0,1.0,1.088,0.9161,0.06642999999999999,0.007372,0.1538,6.848,2.291,40.0,0.007372,0.1538,1.0,67.18,0.033819999999999996,0.2514,0.05159,0.6632,10.54
23,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_3_(c)yogore.mid,6.0,59.0,0.0,65.0,2.0,2.0,12.82,0.2248,5.51,2.0,0.408,0.03081,0.127,0.3455,0.5116,2.242,10.03,5.8260000000000005,0.1707,0.321,0.00321,3.0,4.0,2.0,0.5607,0.7003,0.00606,0.02449,0.3,7.386,1.97,64.0,0.03515,0.4,1.0,171.4,0.06752999999999999,0.1113,0.1464,0.6747,1.849
24,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_4_(c)halstead.mid,6.0,60.0,0.0,66.0,3.0,2.0,13.81,0.04923,5.519,2.0,0.3063,0.02411,0.1955,0.5009,0.4657,2.8539999999999996,11.9,6.689,0.2964,0.4164,0.0793,3.0,4.0,1.0,1.6369999999999998,1.021,0.01805,0.03887,0.6667,8.976,1.7109999999999999,90.0,0.03119,0.6,1.0,122.3,0.07771,0.203,0.09827000000000001,0.6211,5.462999999999999
25,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_4_(c)oguri.mid,6.0,60.0,0.0,66.0,3.0,2.0,13.82,0.04513,5.523,2.0,0.3953,0.0028190000000000003,0.1071,0.2713,0.5329,1.745,13.9,7.906000000000001,0.2484,0.3628,0.04371,4.0,4.0,1.0,0.9016,0.7695,0.06774,0.007984,0.5,7.86,2.576,43.0,0.007984,0.5,1.0,123.0,0.0408,0.3032,0.06291000000000001,0.5931,9.417
26,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_4_(c)yogore.mid,6.0,60.0,0.0,66.0,3.0,2.0,13.8,0.04032,5.513999999999999,2.0,0.3294,0.02244,0.1741,0.4587,0.4637,2.55,13.5,5.9079999999999995,0.1841,0.3053,0.0036060000000000003,3.0,4.0,2.0,1.337,1.0859999999999999,0.013369999999999998,0.03921,0.6667,9.995,1.608,99.0,0.02915,0.4,1.0,214.7,0.1052,0.05004,0.1026,0.7422,2.137
27,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_5_(c)halstead.mid,6.0,60.0,0.0,64.0,3.0,2.0,12.56,-0.2986,5.707999999999999,2.0,0.3996,0.06585,0.1484,0.375,0.4253,1.929,10.53,6.352,0.3072,0.4797,0.0273,3.0,4.0,1.0,0.8667,0.6921,0.016909999999999998,0.026330000000000003,0.6,4.513,1.325,50.0,0.03954,1.0,1.0,247.5,0.047689999999999996,0.1083,0.1292,0.7148,5.239
28,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_5_(c)oguri.mid,6.0,60.0,0.0,64.0,3.0,2.0,12.55,-0.2898,5.716,12.0,0.5287,0.01753,0.05842000000000001,0.1529,0.4836,1.531,14.08,6.8,0.2563,0.4225,0.02748,4.0,4.0,1.0,1.777,1.766,0.0485,0.0074069999999999995,0.2,4.671,1.8430000000000002,43.0,0.0074069999999999995,0.2,1.0,246.8,0.03142,0.2556,0.04749,0.6655,10.6
29,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_5_(c)yogore.mid,6.0,60.0,0.0,64.0,3.0,2.0,12.58,-0.2981,5.718,2.0,0.3869,0.08371,0.1425,0.371,0.4025,2.115,12.1,5.872999999999999,0.2282,0.4155,0.005215,3.0,4.0,1.0,0.8271,0.738,0.0,0.03053,0.4,6.372000000000001,1.617,70.0,0.039810000000000005,0.6667,1.0,112.9,0.09118,0.1006,0.1529,0.6553,1.9569999999999999
30,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_6_(c)halstead.mid,6.0,70.0,0.0,76.0,6.0,2.0,14.36,-0.4248,5.502999999999999,2.0,0.3056,0.03632,0.1496,0.4808,0.444,2.153,9.16,4.805,0.2406,0.4613,0.030080000000000003,3.0,8.0,1.0,0.4795,0.5668,0.01816,0.02433,0.3,16.69,5.803999999999999,73.0,0.02572,0.2222,1.0,81.32,0.1602,0.1775,0.1227,0.5395,5.9639999999999995
31,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_6_(c)oguri.mid,6.0,71.0,0.0,79.0,6.0,2.0,14.19,-0.03992,5.56,2.0,0.4117,0.02075,0.05025,0.2162,0.4906,1.47,14.4,6.019,0.2892,0.4531,0.0205,4.0,4.0,1.0,0.3601,0.5155,0.1433,0.006895999999999999,0.2308,17.87,7.255,40.0,0.006895999999999999,0.2308,1.0,65.76,0.0737,0.2829,0.07038,0.573,9.984
32,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_6_(c)yogore.mid,6.0,71.0,0.0,76.0,7.0,2.0,14.16,-0.2155,5.55,2.0,0.315,0.0317,0.1123,0.4704,0.4686,1.837,9.318999999999999,4.581,0.2241,0.4782,0.01325,3.0,8.0,1.0,0.4388,0.5476,0.05609,0.02351,0.3,21.39,6.537999999999999,92.0,0.02136,0.3333,1.0,161.0,0.1686,0.1431,0.1111,0.5772,3.313
33,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/impromptu_1_(c)dery.mid,6.0,74.0,0.0,77.0,3.0,2.0,14.79,0.2269,5.587000000000001,5.0,0.4743,0.03009,0.08009,0.1637,0.5871,1.858,12.31,6.403,0.2412,0.3173,0.001538,6.0,4.0,2.0,0.6435,0.3486,0.02175,0.03243,0.6,13.12,4.604,197.0,0.02399,0.1111,1.0,0.0,0.1245,0.3328,0.2496,0.2931,3.2230000000000003
34,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/impromptu_2_(c)dery.mid,6.0,69.0,0.0,81.0,2.0,2.0,14.15,0.4544,5.617999999999999,2.0,0.3787,0.009248000000000001,0.1753,0.3817,0.5163,2.4859999999999998,10.77,5.896,0.3487,0.2274,0.01214,2.0,4.0,3.0,0.406,0.4774,0.0654,0.022000000000000002,0.375,11.78,3.4789999999999996,69.0,0.02109,0.25,1.0,0.0,0.06448999999999999,0.2146,0.1749,0.5461,2.217
35,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/impromptu_3_(c)dery.mid,6.0,77.0,0.0,81.0,4.0,2.0,14.47,-0.04212,5.665,3.0,0.4887,0.01087,0.05525,0.2151,0.5435,2.0580000000000003,11.46,6.53,0.2621,0.2864,0.0,2.0,4.0,2.0,0.47600000000000003,0.4208,0.02935,0.02342,0.2,9.501,2.8510000000000004,52.0,0.026439999999999998,0.25,1.0,0.0,0.07152,0.1833,0.2086,0.5366,2.492
36,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/impromptu_4_(c)dery.mid,6.0,66.0,0.0,72.0,3.0,2.0,11.79,0.054060000000000004,5.722,2.0,0.3867,0.030639999999999997,0.15,0.3111,0.5515,1.98,11.1,6.896,0.3959,0.3099,0.004579,2.0,4.0,2.0,0.4056,0.337,0.015069999999999998,0.01989,0.3,8.44,3.832,84.0,0.02443,0.4286,1.0,0.0,0.05878,0.27699999999999997,0.1457,0.5185,3.097
37,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/impromptu_5_(c)dery.mid,6.0,71.0,0.0,72.0,6.0,3.0,11.98,0.1962,6.114,2.0,0.3382,0.01594,0.06999,0.4103,0.5415,2.8569999999999998,14.02,8.238999999999999,0.3238,0.2349,0.0,2.0,4.0,1.0,0.4858,0.5253,0.03902,0.02265,0.2,12.67,1.9869999999999999,42.0,0.018969999999999997,0.3571,1.0,0.0,0.02493,0.1381,0.047939999999999997,0.7891,2.344
38,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/nocturne_10_(c)dery.mid,6.0,63.0,0.0,65.0,3.0,2.0,10.68,0.1404,6.079,2.0,0.4341,0.02713,0.07267,0.1802,0.4821,1.6119999999999999,12.45,5.7379999999999995,0.2852,0.289,0.01623,4.0,4.0,1.0,0.6717,0.6084,0.010159999999999999,0.025660000000000002,0.2,5.3020000000000005,2.3280000000000003,65.0,0.03607,0.4,1.0,0.0,0.1838,0.2386,0.1324,0.4453,6.189
39,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/nocturne_11_(c)dery.mid,6.0,54.0,0.0,55.0,3.0,3.0,10.42,-0.3829,5.763,2.0,0.5461,0.07781,0.05764,0.1614,0.4547,1.675,11.57,5.043,0.2942,0.4092,0.0,3.0,4.0,1.0,0.7733,0.6184,0.0262,0.02939,0.6,5.43,2.6860000000000004,63.0,0.04011,0.6667,1.0,0.0,0.1123,0.1477,0.1241,0.6158,4.199
40,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/nocturne_12_(c)dery.mid,6.0,63.0,0.0,64.0,5.0,2.0,11.85,0.1865,5.569,2.0,0.4266,0.05779,0.1205,0.2682,0.4854,1.702,10.15,5.579,0.2309,0.4225,0.0,12.0,8.0,1.0,0.8207,0.8270000000000001,0.00456,0.0272,0.5714,9.107999999999999,4.016,74.0,0.028839999999999998,0.3333,1.0,0.0,0.06676,0.1097,0.0869,0.7366,4.188
41,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/nocturne_13_(c)dery.mid,6.0,74.0,0.0,75.0,3.0,2.0,11.85,0.1336,6.031000000000001,2.0,0.4263,0.03639,0.1021,0.2774,0.5522,2.033,11.27,6.255,0.243,0.3129,0.004451,3.0,2.0,2.0,1.079,1.099,0.0106,0.026060000000000003,0.3,7.351,3.398,68.0,0.025910000000000002,0.2,1.0,0.0,0.09205,0.1537,0.08445,0.6698,3.7489999999999997
42,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/nocturne_1_(c)dery.mid,6.0,70.0,0.0,77.0,2.0,2.0,13.12,-0.1478,5.767,2.0,0.3768,0.07692,0.1726,0.3534,0.4566,1.926,10.45,4.886,0.2018,0.3209,0.04757,3.0,4.0,2.0,0.5063,0.5238,0.011179999999999999,0.0207,0.4,6.155,1.642,53.0,0.03255,0.5,1.0,0.0,0.06742999999999999,0.1432,0.1006,0.6887,3.5
43,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/nocturne_2_(c)dery.mid,6.0,71.0,0.0,76.0,3.0,2.0,13.4,-0.02214,5.845,3.0,0.4531,0.03783,0.08183,0.2282,0.5231,2.229,13.67,5.949,0.23199999999999998,0.1978,0.01155,4.0,4.0,3.0,0.2663,0.2763,0.037860000000000005,0.01731,0.2667,9.955,2.818,76.0,0.02266,0.2222,1.0,0.0,0.05923,0.1967,0.1026,0.6415,3.987
44,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/nocturne_3_(c)dery.mid,6.0,63.0,0.0,66.0,2.0,2.0,11.93,0.1447,5.9510000000000005,2.0,0.4562,0.01971,0.08175,0.2474,0.5205,1.8840000000000001,11.67,6.122999999999999,0.2133,0.2526,0.009323,3.0,4.0,1.0,0.5227,0.657,0.02198,0.02207,0.3,6.979,2.043,82.0,0.02695,0.4286,1.0,0.0,0.05139,0.1484,0.07564,0.7246,2.049
45,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/nocturne_4_(c)dery.mid,6.0,68.0,0.0,70.0,6.0,2.0,11.92,0.1358,5.803,7.0,0.4926,0.01683,0.06782,0.1559,0.496,1.631,11.92,5.723,0.1991,0.335,0.02878,4.0,4.0,2.0,0.4959,0.6729999999999999,0.014240000000000001,0.02107,0.2,6.297000000000001,2.19,56.0,0.03293,0.5,1.0,0.0,0.07672999999999999,0.1951,0.1307,0.5974,3.332
